# B.2 Experiment 1, CHILDES (Resnik, 1993)
#
# Object-drop verbs	Non-object-drop verbs
# Verb Strength		Verb Strength
#
explain	4.41	open	2.41
pack	3.71	hang	2.03
sing	3.15	wear	2.02
read	2.58	show	1.83
drink	2.38	catch	1.67
write	2.33	hit	1.31
pour	2.30	give	1.18
steal	2.28	say	0.94
play	2.13	like	0.89
push	1.77	bring	0.88
hear	1.67	make	0.77
pull	1.55	take	0.74
watch	1.44	find	0.71
eat	1.15	want	0.70
call	0.95	see	0.48
		put	0.40
		get	0.28
#
# Resnik, Philip (1993), {\em Selection and Information: A Class-Based
# Approach to Lexical Relations}, PhD Dissertation, University of
# Pennsylvania.
#
# analysis:
# % perl_ sum_file.perl -mann_whitney -fix=0 -f1=2 -f2=4 resnik_childes_object.data
# 
# U = 37; E(U) = 127.5; V(U) = 701.25
# z = 3.4175284770233585
# p = 3.1596241413212045E-4
#
